[00:31:46.782] ================================================================================
[00:31:46.783] 🎮 전투 로그 세션 시작: 20250802_003146
[00:31:46.784] ================================================================================
[00:31:46.786] 
💥 BRV 데미지 계산:
[00:31:46.786]    공격자: 테스트 플레이어 → 대상: 테스트 몬스터
[00:31:46.787]    기본 데미지: 30
[00:31:46.787]    공격자_물리공격력: 150.00
[00:31:46.788]    대상_물리방어력: 90.00
[00:31:46.788]    기본_BRV_데미지: 30.00
[00:31:46.788]    스킬_배율: 120%
[00:31:46.789]    스킬_배율_적용후: 36.00
[00:31:46.789]    기본_스킬_배율_1.5x: 54.00
[00:31:46.790]    플레이어_보너스_1.5x: 81.00
[00:31:46.790]    랜덤_배율: 1.078
[00:31:46.790]    랜덤_적용후: 87.00
[00:31:46.791]    ⚡ 최종 데미지: 87
